name	group	strand	number_of_isoforms	isoforms	number_of_isoforms_with_annotated_domain	isoforms_with_annotated_domain	longest_isoform_with_annotated_domain	number_of_exon_for_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain_percentage	DIFF	EXPR	number_of_assays
BUB1	OTHER	-	4	"uc002tgc.3;uc002tgd.2;uc010fkb.3;uc010yxh.2"	3	"uc002tgc.3;uc010fkb.3;uc010yxh.2"	uc002tgc.3	25	exons-19-25	start-75%-end-100%	yes	yes	2
BUB1B	OTHER	+	2	"uc001zkx.4;uc010ucl.1"	1	uc001zkx.4	uc001zkx.4	23	exons-17-22	start-73%-end-95%	yes	yes	2
C9orf96	OTHER	+	2	"uc004cdk.3;uc004cdl.3"	1	uc004cdk.3	uc004cdk.3	18	exons-1-14	start-0%-end-76%	yes	yes	2
CAMK1	CAMK	-	2	"uc003bss.3;uc003bst.3"	2	"uc003bss.3;uc003bst.3"	uc003bst.3	12	exons-2-12	start-9%-end-100%	no	yes	1
CAMK1D	CAMK	+	2	"uc001iln.3;uc001ilo.3"	2	"uc001iln.3;uc001ilo.3"	uc001ilo.3	11	exons-1-11	start-0%-end-100%	no	yes	1
CAMK1G	CAMK	+	3	"uc001hhd.3;uc001hhe.3;uc001hhf.4"	3	"uc001hhd.3;uc001hhe.3;uc001hhf.4"	"uc001hhd.3;uc001hhe.3"	13	exons-2-11	start-8%-end-83%	no	yes	1
CAMK2A	CAMK	-	4	"uc003lrt.2;uc003lru.2;uc010jhe.2;uc010jhf.1"	3	"uc003lrt.2;uc003lru.2;uc010jhe.2"	uc003lrt.2	19	exons-1-18	start-0%-end-94%	no	yes	1
CAMK2B	CAMK	-	9	"uc003tkp.2;uc003tkq.2;uc003tkr.2;uc003tks.2;uc003tkt.2;uc003tku.2;uc003tkv.2;uc003tkw.2;uc010kyc.2"	9	"uc003tkp.2;uc003tkq.2;uc003tkr.2;uc003tks.2;uc003tkt.2;uc003tku.2;uc003tkv.2;uc003tkw.2;uc010kyc.2"	uc003tkq.2	24	exons-1-20	start-0%-end-83%	no	yes	1
CAMK2D	CAMK	-	7	"uc003ibi.3;uc003ibj.3;uc003ibk.3;uc003ibl.2;uc003ibm.2;uc003ibn.2;uc003ibo.4"	7	"uc003ibi.3;uc003ibj.3;uc003ibk.3;uc003ibl.2;uc003ibm.2;uc003ibn.2;uc003ibo.4"	uc003ibo.4	21	exons-1-20	start-0%-end-95%	no	yes	1
CAMK2G	CAMK	-	12	"uc001jvm.2;uc001jvo.2;uc001jvp.2;uc001jvq.2;uc001jvr.2;uc001jvs.2;uc001jvt.2;uc001jvv.2;uc001jvw.1;uc001jvx.1;uc009xrp.1;uc010qkv.2"	7	"uc001jvm.2;uc001jvo.2;uc001jvp.2;uc001jvq.2;uc001jvr.2;uc001jvs.2;uc001jvv.2"	"uc001jvm.2;uc001jvo.2;uc001jvs.2"	21	exons-1-18	start-0%-end-85%	no	yes	1
CAMK4	CAMK	+	3	"uc003kpf.3;uc003kpg.3;uc010jbv.3"	2	"uc003kpf.3;uc010jbv.3"	uc003kpf.3	11	exons-1-11	start-0%-end-100%	no	yes	1
CAMKK1	OTHER	-	3	"uc002fwt.3;uc002fwu.3;uc002fwv.3"	3	"uc002fwt.3;uc002fwu.3;uc002fwv.3"	"uc002fwt.3;uc002fwu.3;uc002fwv.3"	16	exons-2-16	start-7%-end-100%	no	yes	1
CAMKK2	OTHER	-	11	"uc001tzt.3;uc001tzu.3;uc001tzv.3;uc001tzw.3;uc001tzx.3;uc001tzy.3;uc001tzz.2;uc001uaa.2;uc001uab.3;uc001uac.3;uc001uad.2"	10	"uc001tzt.3;uc001tzu.3;uc001tzv.3;uc001tzw.3;uc001tzx.3;uc001tzy.3;uc001tzz.2;uc001uaa.2;uc001uab.3;uc001uac.3"	"uc001tzu.3;uc001tzv.3;uc001uab.3"	17	exons-2-17	start-6%-end-100%	no	yes	1
CAMKV	CAMK	-	9	"uc003cxt.1;uc003cxu.2;uc003cxv.1;uc003cxw.1;uc003cxx.1;uc011bcy.1;uc011bcz.1;uc011bda.1;uc011bdb.1"	8	"uc003cxt.1;uc003cxu.2;uc003cxv.1;uc003cxw.1;uc003cxx.1;uc011bcy.1;uc011bcz.1;uc011bda.1"	"uc003cxu.2;uc011bcz.1;uc011bda.1"	12	exons-2-12	start-9%-end-100%	yes	yes	2
CASK	CAMK	-	5	"uc004dfj.4;uc004dfk.4;uc004dfl.4;uc004dfm.4;uc004dfn.4"	4	"uc004dfk.4;uc004dfl.4;uc004dfm.4;uc004dfn.4"	uc004dfl.4	27	exons-1-20	start-0%-end-73%	yes	yes	2
CDC42BPA	AGC	-	8	"uc001hqp.3;uc001hqq.3;uc001hqr.3;uc001hqs.3;uc001hqt.2;uc001hqu.1;uc009xes.3;uc010pvs.2"	4	"uc001hqr.3;uc001hqs.3;uc009xes.3;uc010pvs.2"	"uc001hqr.3;uc010pvs.2"	36	exons-1-10	start-0%-end-26%	yes	yes	2
CDC42BPB	AGC	-	2	"uc001ymi.1;uc001ymj.1"	1	uc001ymi.1	uc001ymi.1	37	exons-1-10	start-0%-end-25%	yes	yes	2
CDC42BPG	AGC	-	1	uc001obs.4	1	uc001obs.4	uc001obs.4	37	exons-1-10	start-0%-end-25%	yes	yes	2
CDC7	OTHER	+	5	"uc001doe.3;uc001dof.3;uc009wdc.3;uc009wdd.3;uc010osw.2"	5	"uc001doe.3;uc001dof.3;uc009wdc.3;uc009wdd.3;uc010osw.2"	"uc001doe.3;uc001dof.3;uc009wdc.3"	12	exons-2-12	start-9%-end-100%	no	yes	1
CDK1	CMGC	+	6	"uc001jld.3;uc001jle.3;uc001jlg.3;uc010qii.2;uc021prh.1;uc031pvg.1"	5	"uc001jld.3;uc001jlg.3;uc010qii.2;uc021prh.1;uc031pvg.1"	"uc001jld.3;uc031pvg.1"	8	exons-2-8	start-14%-end-100%	no	yes	1
CDK10	CMGC	+	11	"uc002foa.2;uc002fob.2;uc002fod.3;uc002foe.3;uc002fof.3;uc002fog.4;uc002foh.4;uc002foi.3;uc010cio.3;uc010cip.2;uc010vpl.1"	10	"uc002foa.2;uc002fob.2;uc002fod.3;uc002foe.3;uc002fof.3;uc002fog.4;uc002foh.4;uc010cio.3;uc010cip.2;uc010vpl.1"	"uc002fod.3;uc002foe.3;uc002fof.3;uc010cio.3"	13	exons-4-13	start-25%-end-100%	no	yes	1
CDK11A	CMGC	-	12	"uc001ahj.4;uc001aht.1;uc009vkp.3;uc009vkq.3;uc009vkr.3;uc009vks.3;uc009vkt.1;uc009vku.1;uc009vkv.1;uc010nys.2;uc010nyt.1;uc010nyu.1"	6	"uc001ahj.4;uc009vkp.3;uc009vkr.3;uc009vks.3;uc010nys.2;uc010nyt.1"	"uc009vkr.3;uc009vks.3"	20	exons-11-20	start-53%-end-100%	no	yes	1
CDK11B	CMGC	-	13	"uc001ags.1;uc001agt.1;uc001agv.1;uc001agw.1;uc001agx.1;uc001agy.1;uc001agz.1;uc001aha.1;uc001ahu.1;uc001ahv.1;uc001ahw.1;uc009vkj.2;uc010nyr.1"	9	"uc001ags.1;uc001agt.1;uc001agv.1;uc001agw.1;uc001agx.1;uc001agy.1;uc001agz.1;uc001aha.1;uc009vkj.2"	uc001aha.1	22	exons-13-22	start-57%-end-100%	no	yes	1
CDK12	CMGC	+	3	"uc002hrw.4;uc010cvv.3;uc010wef.1"	3	"uc002hrw.4;uc010cvv.3;uc010wef.1"	"uc002hrw.4;uc010cvv.3"	14	exons-3-14	start-15%-end-100%	yes	yes	2
CDK13	CMGC	+	5	"uc003thh.4;uc003thi.4;uc003thj.3;uc003thk.3;uc011kbf.2"	4	"uc003thh.4;uc003thi.4;uc003thj.3;uc011kbf.2"	"uc003thh.4;uc003thi.4"	14	exons-3-13	start-15%-end-92%	yes	yes	2
CDK14	CMGC	+	8	"uc003ukt.1;uc003uku.1;uc003ukv.1;uc003ukx.1;uc003uky.2;uc003ukz.1;uc010les.1;uc011khl.1"	7	"uc003ukt.1;uc003uku.1;uc003ukv.1;uc003uky.2;uc003ukz.1;uc010les.1;uc011khl.1"	uc003uky.2	15	exons-3-14	start-14%-end-93%	yes	yes	3
CDK15	CMGC	+	7	"uc002uys.3;uc002uyt.3;uc002uyu.2;uc010ftm.3;uc010ftn.2;uc010fto.2;uc031rqs.1"	6	"uc002uys.3;uc002uyt.3;uc010ftm.3;uc010ftn.2;uc010fto.2;uc031rqs.1"	uc002uys.3	15	exons-3-14	start-14%-end-93%	no	yes	1
CDK16	CMGC	+	5	"uc004dho.3;uc011mli.2;uc011mlj.2;uc011mlk.2;uc011mll.2"	5	"uc004dho.3;uc011mli.2;uc011mlj.2;uc011mlk.2;uc011mll.2"	"uc004dho.3;uc011mli.2;uc011mlk.2;uc011mll.2"	16	exons-4-16	start-20%-end-100%	yes	yes	2
CDK17	CMGC	-	3	"uc001tep.2;uc009ztk.3;uc010svb.2"	3	"uc001tep.2;uc009ztk.3;uc010svb.2"	uc001tep.2	17	exons-5-17	start-25%-end-100%	yes	yes	2
CDK18	CMGC	+	9	"uc001hcp.3;uc001hcq.3;uc001hcr.3;uc001hcs.3;uc009xbk.2;uc009xbl.2;uc009xbm.1;uc010pri.2;uc010prj.2"	6	"uc001hcp.3;uc001hcq.3;uc001hcr.3;uc001hcs.3;uc009xbm.1;uc010prj.2"	"uc001hcp.3;uc001hcq.3;uc001hcr.3"	16	exons-4-16	start-20%-end-100%	no	yes	1
CDK19	CMGC	-	4	"uc003puh.1;uc003pui.1;uc011eax.1;uc031spj.1"	4	"uc003puh.1;uc003pui.1;uc011eax.1;uc031spj.1"	uc003pui.1	14	exons-3-13	start-15%-end-92%	yes	yes	2
CDK2	CMGC	+	3	"uc001sit.4;uc001siu.4;uc010spy.2"	3	"uc001sit.4;uc001siu.4;uc010spy.2"	uc001sit.4	7	exons-1-7	start-0%-end-100%	no	yes	1
CDK20	CMGC	-	6	"uc004apr.3;uc004aps.3;uc004apt.3;uc004apu.3;uc022bjj.1;uc031tej.1"	6	"uc004apr.3;uc004aps.3;uc004apt.3;uc004apu.3;uc022bjj.1;uc031tej.1"	uc004apr.3	8	exons-1-8	start-0%-end-100%	no	yes	1
CDK4	CMGC	-	3	"uc001spv.3;uc001spw.3;uc010ssb.2"	2	"uc001spv.3;uc010ssb.2"	uc001spv.3	8	exons-2-8	start-14%-end-100%	yes	yes	2
CDK5	CMGC	-	3	"uc003wir.2;uc003wis.2;uc022apy.1"	2	"uc003wir.2;uc003wis.2"	uc003wir.2	12	exons-1-12	start-0%-end-100%	no	yes	1
CDK6	CMGC	-	2	"uc010lez.3;uc011khw.2"	2	"uc010lez.3;uc011khw.2"	"uc010lez.3;uc011khw.2"	8	exons-2-8	start-14%-end-100%	yes	yes	2
CDK7	CMGC	+	4	"uc003jvs.4;uc003jvt.4;uc010ixd.1;uc021xzo.1"	4	"uc003jvs.4;uc003jvt.4;uc010ixd.1;uc021xzo.1"	uc003jvt.4	13	exons-3-13	start-17%-end-100%	no	yes	1
CDK8	CMGC	+	3	"uc001uqr.1;uc001uqs.1;uc001uqt.1"	3	"uc001uqr.1;uc001uqs.1;uc001uqt.1"	"uc001uqr.1;uc001uqs.1"	13	exons-1-13	start-0%-end-100%	no	yes	1
CDK9	CMGC	+	1	uc004bse.2	1	uc004bse.2	uc004bse.2	7	exons-1-7	start-0%-end-100%	no	yes	1
CDKL1	CMGC	-	2	"uc001wxz.3;uc010anu.2"	2	"uc001wxz.3;uc010anu.2"	uc010anu.2	20	exons-4-6	start-16%-end-26%	no	yes	1
CDKL2	CMGC	-	3	"uc003hiq.3;uc010iix.1;uc011cbp.2"	2	"uc003hiq.3;uc011cbp.2"	uc011cbp.2	14	exons-2-10	start-8%-end-69%	yes	yes	2
CDKL3	CMGC	-	9	"uc003kzf.4;uc003kzg.4;uc010jdw.2;uc011cxm.1;uc011cxn.1;uc011cxo.1;uc011cxp.1;uc011cxq.2;uc011cxr.1"	5	"uc003kzf.4;uc003kzg.4;uc011cxm.1;uc011cxq.2;uc011cxr.1"	"uc003kzf.4;uc011cxq.2"	13	exons-2-10	start-8%-end-75%	no	yes	1
CDKL4	CMGC	-	2	"uc002rrm.3;uc010fal.2"	2	"uc002rrm.3;uc010fal.2"	uc010fal.2	9	exons-1-9	start-0%-end-100%	no	yes	1
CDKL5	CMGC	+	3	"uc004cym.3;uc004cyn.3;uc022btn.1"	3	"uc004cym.3;uc004cyn.3;uc022btn.1"	uc004cyn.3	22	exons-3-13	start-10%-end-57%	yes	yes	2
CHEK1	CAMK	+	6	"uc001qcf.4;uc001qcg.4;uc009zbo.3;uc009zbp.3;uc010sbh.2;uc010sbi.2"	6	"uc001qcf.4;uc001qcg.4;uc009zbo.3;uc009zbp.3;uc010sbh.2;uc010sbi.2"	uc001qcf.4	14	exons-2-11	start-8%-end-77%	no	yes	1
CHEK2	CAMK	-	10	"uc003adr.1;uc003ads.1;uc003adt.1;uc003adu.1;uc003adv.1;uc003adx.1;uc010gvh.1;uc010gvi.1;uc010gvj.1;uc010gvk.1"	7	"uc003ads.1;uc003adt.1;uc003adu.1;uc003adv.1;uc003adx.1;uc010gvh.1;uc010gvi.1"	"uc003adt.1;uc003adx.1"	16	exons-5-16	start-27%-end-100%	no	yes	1
CHUK	OTHER	-	1	uc001kqp.3	1	uc001kqp.3	uc001kqp.3	21	exons-1-10	start-0%-end-45%	yes	yes	2
CIT	AGC	-	3	"uc001txh.2;uc001txi.2;uc001txj.2"	2	"uc001txi.2;uc001txj.2"	uc001txj.2	48	exons-3-11	start-4%-end-21%	yes	yes	2
CLK1	CMGC	-	4	"uc002uwe.2;uc002uwf.2;uc002uwg.2;uc010zhi.1"	4	"uc002uwe.2;uc002uwf.2;uc002uwg.2;uc010zhi.1"	"uc002uwe.2;uc010zhi.1"	13	exons-3-13	start-17%-end-100%	yes	yes	2
CLK2	CMGC	-	4	"uc001fjw.3;uc001fjx.3;uc001fjy.3;uc009wqm.3"	4	"uc001fjw.3;uc001fjx.3;uc001fjy.3;uc009wqm.3"	"uc001fjw.3;uc001fjy.3;uc009wqm.3"	13	exons-3-13	start-17%-end-100%	yes	yes	2
CLK3	CMGC	+	7	"uc002ayg.4;uc002ayh.4;uc002ayj.4;uc002ayk.4;uc002ayl.4;uc010ulm.1;uc010uln.2"	6	"uc002ayg.4;uc002ayh.4;uc002ayj.4;uc002ayk.4;uc002ayl.4;uc010uln.2"	"uc002ayg.4;uc010uln.2"	13	exons-3-13	start-17%-end-100%	yes	yes	3
CLK4	CMGC	-	11	"uc003mjf.1;uc003mjg.1;uc003mjh.1;uc003mji.2;uc010jku.1;uc010jkv.1;uc010jkw.1;uc011dgg.1;uc011dgh.1;uc011dgi.1;uc011dgj.1"	6	"uc003mjf.1;uc003mjg.1;uc003mjh.1;uc010jku.1;uc011dgg.1;uc011dgh.1"	uc003mjg.1	15	exons-5-15	start-29%-end-100%	no	yes	1
CSF1R	RTK	-	6	"uc003lrl.3;uc003lrm.3;uc010jhc.3;uc011dcd.2;uc011dce.1;uc011dcf.2"	3	"uc003lrl.3;uc003lrm.3;uc011dcd.2"	uc003lrm.3	22	exons-12-22	start-52%-end-100%	yes	yes	2
CSK	NRTK	+	4	"uc002ays.2;uc010bka.3;uc010bkb.1;uc010bkc.1"	3	"uc002ays.2;uc010bkb.1;uc010bkc.1"	uc010bkb.1	14	exons-7-14	start-46%-end-100%	no	yes	1
CSNK1A1	CK1	-	6	"uc003lqw.2;uc003lqx.2;uc003lqy.2;uc010jha.2;uc011dcb.2;uc011dcc.3"	6	"uc003lqw.2;uc003lqx.2;uc003lqy.2;uc010jha.2;uc011dcb.2;uc011dcc.3"	uc003lqw.2	11	exons-1-11	start-0%-end-100%	no	yes	1
CSNK1A1L	CK1	-	1	uc001uwm.1	1	uc001uwm.1	uc001uwm.1	1	exons-1-1	start-0%-end-100%	no	yes	1
